metrica,fator,nivel,media,ic95_inf,ic95_sup,N_instancias
atraso_relativo,NC,1.5,-1.1952158290829682,-1.358008637156394,-1.0324230210095424,16
taxa_omissao,NC,1.5,-0.22682291666666665,-0.2438946452727848,-0.20975118806054852,16
divida_latente_sobre_plano,NC,1.5,-0.08248789681478944,-0.0933136095007198,-0.07166218412885907,16
taxa_falha_efetiva,NC,1.5,-0.030208333333333334,-0.04150526572067389,-0.01891140094599278,16
fracao_porta1,NC,1.5,-0.06180555555555556,-0.0813247709100558,-0.04228634020105531,16
atraso_relativo,NC,1.806452,-0.9014418508230988,-1.0098716944081283,-0.7930120072380694,16
taxa_omissao,NC,1.806452,-0.19322916666666667,-0.20744929816015906,-0.1790090351731743,16
divida_latente_sobre_plano,NC,1.806452,-0.06799757520788086,-0.07529125849785996,-0.06070389191790175,16
taxa_falha_efetiva,NC,1.806452,-0.01614583333333333,-0.027069321715450262,-0.005222344951216399,16
fracao_porta1,NC,1.806452,-0.04062500000000001,-0.053785230676086995,-0.027464769323913018,16
atraso_relativo,NC,2.112903,-0.8611933550237868,-1.0087879313166452,-0.7135987787309285,16
taxa_omissao,NC,2.112903,-0.20208333333333334,-0.21453205127766933,-0.18963461538899734,16
divida_latente_sobre_plano,NC,2.112903,-0.06756173132491103,-0.07514598738694696,-0.0599774752628751,16
taxa_falha_efetiva,NC,2.112903,-0.017447916666666664,-0.02929845421245556,-0.005597379120877767,16
fracao_porta1,NC,2.112903,-0.04722222222222222,-0.06146832950893677,-0.03297611493550767,16
atraso_relativo,RF,0.25,-0.9040809952553914,-1.0976062391617634,-0.7105557513490195,12
taxa_omissao,RF,0.25,-0.19490740740740742,-0.21365865460634714,-0.1761561602084677,12
divida_latente_sobre_plano,RF,0.25,-0.06976373334140575,-0.0827657303476133,-0.056761736335198196,12
taxa_falha_efetiva,RF,0.25,-0.021064814814814814,-0.033057705633706524,-0.009071923995923107,12
fracao_porta1,RF,0.25,-0.05601851851851852,-0.07181038368580125,-0.04022665335123579,12
atraso_relativo,RF,0.504167,-1.0208825785235771,-1.2519802609251849,-0.7897848961219692,12
taxa_omissao,RF,0.504167,-0.20381944444444447,-0.22504226087207765,-0.18259662801681129,12
divida_latente_sobre_plano,RF,0.504167,-0.06832895358759934,-0.07608522587951823,-0.060572681295680456,12
taxa_falha_efetiva,RF,0.504167,-0.030555555555555558,-0.04568655656097123,-0.015424554550139885,12
fracao_porta1,RF,0.504167,-0.0664351851851852,-0.08143382312191198,-0.051436547248458406,12
atraso_relativo,RF,0.754167,-0.9199046767948715,-1.0500207310430196,-0.7897886225467234,12
taxa_omissao,RF,0.754167,-0.20833333333333334,-0.23211657462472007,-0.1845500920419466,12
divida_latente_sobre_plano,RF,0.754167,-0.072036617829713,-0.0844257148787595,-0.05964752078066651,12
taxa_falha_efetiva,RF,0.754167,-0.01770833333333333,-0.030040519226329054,-0.005376147440337606,12
fracao_porta1,RF,0.754167,-0.034837962962962966,-0.054775399127872826,-0.014900526798053104,12
atraso_relativo,RF,1.0,-1.0989331293326317,-1.29033472365886,-0.9075315350064033,12
taxa_omissao,RF,1.0,-0.22245370370370368,-0.23089980136023305,-0.2140076060471743,12
divida_latente_sobre_plano,RF,1.0,-0.08060029970472367,-0.09079922865174078,-0.07040137075770656,12
taxa_falha_efetiva,RF,1.0,-0.01574074074074074,-0.031233907690661977,-0.00024757379081949936,12
fracao_porta1,RF,1.0,-0.04224537037037038,-0.06395735097236105,-0.020533389768379706,12
atraso_relativo,RS_tercil,baixo,-0.8976757870457306,-1.0328239471483165,-0.7625276269431447,16
taxa_omissao,RS_tercil,baixo,-0.20251736111111113,-0.2148132535698894,-0.19022146865233286,16
divida_latente_sobre_plano,RS_tercil,baixo,-0.06170843398502658,-0.06685243479343705,-0.05656443317661611,16
taxa_falha_efetiva,RS_tercil,baixo,-0.015711805555555555,-0.027835737321708076,-0.0035878737894030326,16
fracao_porta1,RS_tercil,baixo,-0.03142361111111111,-0.043742219417619105,-0.019105002804603116,16
atraso_relativo,RS_tercil,medio,-1.0065889790651745,-1.1378940127368122,-0.8752839453935368,16
taxa_omissao,RS_tercil,medio,-0.21571180555555552,-0.23328730529372693,-0.19813630581738412,16
divida_latente_sobre_plano,RS_tercil,medio,-0.0815688630071067,-0.09265138938434454,-0.07048633662986885,16
taxa_falha_efetiva,RS_tercil,medio,-0.029166666666666667,-0.03980608257549027,-0.01852725075784306,16
fracao_porta1,RS_tercil,medio,-0.06189236111111111,-0.07980178261970675,-0.04398293960251548,16
atraso_relativo,RS_tercil,alto,-1.0535862688189486,-1.255582312932629,-0.8515902247052682,16
taxa_omissao,RS_tercil,alto,-0.20390625,-0.22235449632257037,-0.18545800367742965,16
divida_latente_sobre_plano,RS_tercil,alto,-0.07476990635544806,-0.08255640164157016,-0.06698341106932595,16
taxa_falha_efetiva,RS_tercil,alto,-0.018923611111111113,-0.030493211560854327,-0.007354010661367901,16
fracao_porta1,RS_tercil,alto,-0.05633680555555556,-0.07034764140629453,-0.042325969704816585,16
